2020-05-24 16:05:28.924 INFO   [OPEN-PLATFORM360,,,] --- [main] com.taikang.directServicePlatform.controller.ControllerApplications The following profiles are active: local
2020-05-24 16:05:29.861 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-24 16:05:29.863 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-24 16:05:29.894 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2020-05-24 16:05:30.264 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.cloud.context.scope.GenericScope BeanFactory id=f48388a9-a91c-39e8-80f3-e552ac2c5314
2020-05-24 16:05:30.704 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$e9a09e37] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-24 16:05:31.196 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 10080 (http)
2020-05-24 16:05:31.208 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-10080"]
2020-05-24 16:05:31.209 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.StandardService Starting service [Tomcat]
2020-05-24 16:05:31.209 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-05-24 16:05:31.335 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2020-05-24 16:05:31.336 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 2380 ms
2020-05-24 16:05:31.632 WARN   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource No URLs will be polled as dynamic configuration sources.
2020-05-24 16:05:31.632 INFO   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-24 16:05:31.637 WARN   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource No URLs will be polled as dynamic configuration sources.
2020-05-24 16:05:31.637 INFO   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-24 16:05:32.085 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2020-05-24 16:05:33.476 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler Initializing ExecutorService
2020-05-24 16:05:33.839 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-10080"]
2020-05-24 16:05:33.897 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 10080 (http) with context path ''
2020-05-24 16:05:33.972 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.cloud.alibaba.nacos.registry.NacosServiceRegistry nacos registry, OPEN-PLATFORM360 192.168.199.175:10080 register finished
2020-05-24 16:05:33.976 INFO   [OPEN-PLATFORM360,,,] --- [main] com.taikang.directServicePlatform.controller.ControllerApplications Started ControllerApplications in 7.218 seconds (JVM running for 8.501)
2020-05-24 16:05:53.876 INFO   [OPEN-PLATFORM360,,,] --- [main] com.taikang.directServicePlatform.controller.ControllerApplications The following profiles are active: local
2020-05-24 16:05:54.706 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-24 16:05:54.709 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-24 16:05:54.742 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2020-05-24 16:05:55.161 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.cloud.context.scope.GenericScope BeanFactory id=f48388a9-a91c-39e8-80f3-e552ac2c5314
2020-05-24 16:05:55.697 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$40300b44] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-24 16:05:56.238 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 10080 (http)
2020-05-24 16:05:56.251 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-10080"]
2020-05-24 16:05:56.252 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.StandardService Starting service [Tomcat]
2020-05-24 16:05:56.252 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-05-24 16:05:56.364 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2020-05-24 16:05:56.365 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 2459 ms
2020-05-24 16:05:56.687 WARN   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource No URLs will be polled as dynamic configuration sources.
